user_id,clip_id,gamesession_Id,game_name,event_name,created_at,scheduled_at,join_at
1377027,134463197110,101121252.0,Apex Legends,,2023-06-01 17:26:19,2023-06-01 22:30:00,2023-04-23 22:47:48
1377027,134463197110,101121252.0,Apex Legends,,2023-06-01 17:27:11,2023-06-01 22:30:00,2023-04-23 22:47:48
4727411,133758065225,101171965.0,Other Games,,2023-06-01 19:50:27,2023-06-01 19:50:27,2023-03-18 12:32:25
4727411,133758065225,101171965.0,Other Games,,2023-06-01 19:50:28,2023-06-01 19:50:28,2023-03-18 12:32:25
4727411,133924026570,101171965.0,Other Games,,2023-06-01 19:51:36,2023-06-01 19:51:36,2023-03-18 12:32:25
4727411,133924026570,101171965.0,Other Games,,2023-06-01 19:51:36,2023-06-01 19:51:36,2023-03-18 12:32:25
4727411,133925183555,101171965.0,Other Games,,2023-06-01 19:53:23,2023-06-01 19:53:23,2023-03-18 12:32:25
4727411,133925183555,101171965.0,Other Games,,2023-06-01 19:53:23,2023-06-01 19:53:23,2023-03-18 12:32:25
327925,129876031125,95619197.0,Other Games,,2023-06-02 00:06:58,2023-06-02 00:06:58,2023-01-13 15:25:03
3547018,134728721285,103109634.0,SMITE,,2023-06-02 07:49:13,2023-06-02 07:49:13,2023-04-13 18:20:20
244242,134749943030,103429140.0,Fortnite,,2023-06-02 08:31:41,2023-06-02 08:31:41,2023-04-20 16:49:06
3547018,134752039580,103109634.0,SMITE,,2023-06-02 09:14:12,2023-06-02 09:14:12,2023-04-13 18:20:20
3547018,134740733740,103109634.0,SMITE,,2023-06-02 09:14:20,2023-06-02 09:14:20,2023-04-13 18:20:20
1377027,134778735650,101121252.0,Apex Legends,,2023-06-02 10:13:43,2023-06-02 22:30:00,2023-04-23 22:47:48
1377027,134778735650,101121252.0,Apex Legends,,2023-06-02 10:13:43,2023-06-02 22:30:00,2023-04-23 22:47:48
3061560,134807683570,103615777.0,League of Legends,,2023-06-02 11:57:34,2023-06-02 11:57:34,2023-03-21 23:08:38
1270056,134762452445,103530190.0,Other Games,,2023-06-02 23:53:56,2023-06-02 23:53:56,2023-03-21 20:43:45
4149902,134980206340,101599806.0,Other Games,,2023-06-03 04:30:15,2023-06-03 04:30:15,2023-04-13 00:44:41
877651,135046798980,103957514.0,SMITE,,2023-06-03 09:58:59,2023-06-03 09:58:59,2023-04-18 15:10:24
3288765,135089211410,104080513.0,SMITE,,2023-06-03 11:26:27,2023-06-03 11:26:27,2023-04-29 22:48:28
3288765,135089211410,104080513.0,SMITE,,2023-06-03 11:36:49,2023-06-03 11:36:49,2023-04-29 22:48:28
3499210,134746658435,103393655.0,Fortnite,Double-elimination,2023-06-03 11:39:22,2023-06-03 11:39:22,2023-04-15 11:01:47
3499210,134746658435,103393655.0,Fortnite,Double-elimination,2023-06-03 11:39:22,2023-06-03 11:39:22,2023-04-15 11:01:47
3499210,134742426510,103393655.0,Fortnite,Multi-kill,2023-06-03 11:40:38,2023-06-03 11:40:38,2023-04-15 11:01:47
3499210,134742426510,103393655.0,Fortnite,Multi-kill,2023-06-03 11:40:38,2023-06-03 11:40:38,2023-04-15 11:01:47
3499210,134746658435,103393655.0,Fortnite,Double-elimination,2023-06-03 19:21:31,2023-06-03 19:21:31,2023-04-15 11:01:47
4727411,133925719340,101171965.0,Other Games,,2023-06-03 22:41:17,2023-06-03 22:41:17,2023-03-18 12:32:25
4727411,133925719340,101171965.0,Other Games,,2023-06-03 22:41:17,2023-06-03 22:41:17,2023-03-18 12:32:25
4727411,133927023860,101171965.0,Other Games,,2023-06-03 22:42:46,2023-06-03 22:42:46,2023-03-18 12:32:25
4727411,133927023860,101171965.0,Other Games,,2023-06-03 22:42:46,2023-06-03 22:42:46,2023-03-18 12:32:25
4727411,133928406030,101171965.0,Other Games,,2023-06-03 22:44:10,2023-06-03 22:44:10,2023-03-18 12:32:25
4727411,133928406030,101171965.0,Other Games,,2023-06-03 22:44:10,2023-06-03 22:44:10,2023-03-18 12:32:25
4727411,133929485365,101171965.0,Other Games,,2023-06-03 22:46:15,2023-06-03 22:46:15,2023-03-18 12:32:25
4727411,133929485365,101171965.0,Other Games,,2023-06-03 22:46:15,2023-06-03 22:46:15,2023-03-18 12:32:25
3166368,134339733610,101973832.0,Other Games,,2023-06-04 00:24:05,2023-06-04 00:24:05,2022-12-16 01:09:46
3166368,134340735295,101973832.0,Other Games,,2023-06-04 00:24:24,2023-06-04 00:24:24,2022-12-16 01:09:46
3166368,134342365945,101973832.0,Other Games,,2023-06-04 00:24:45,2023-06-04 00:24:45,2022-12-16 01:09:46
3840542,135295674995,104409701.0,Apex Legends,,2023-06-04 05:18:00,2023-06-04 05:18:00,2023-03-30 07:40:46
3840542,135295674995,104409701.0,Apex Legends,,2023-06-04 05:23:07,2023-06-04 05:23:07,2023-03-30 07:40:46
3840542,135295674995,104409701.0,Apex Legends,,2023-06-04 05:23:07,2023-06-04 05:23:07,2023-03-30 07:40:46
1138108,135378380010,103064937.0,Other Games,,2023-06-04 11:27:38,2023-06-04 11:27:38,2023-01-05 15:50:22
1138108,135378380010,103064937.0,Other Games,,2023-06-04 11:27:38,2023-06-04 11:27:38,2023-01-05 15:50:22
2373134,135425769805,99921530.0,SMITE,,2023-06-04 16:49:02,2023-06-04 16:49:02,2023-04-01 00:53:50
